Rownum,ItemIdent,target,TargetSoundfile,tword,prime,PrimeSoundfile,ptype,pword,Sequence,Condition,Group
106,F76,krinuo,krinuo.wav,nonword,zhalio,zhalio.wav,F,word,1N,Filler,3
107,F77,vasnio,vasnio.wav,nonword,oretjao,oretjao.wav,F,nonword,2N,Filler,3
108,F78,krebao,krebao.wav,nonword,pruzhio,pruzhio.wav,F,word,3N,Filler,3
109,F79,tarmichio,tarmichio.wav,nonword,palio,palio.wav,F,word,1N,Filler,3
110,F80,branuo,branuo.wav,nonword,muchio,muchio.wav,F,word,2N,Filler,3
111,F81,najurio,najurio.wav,word,svirao,svirao.wav,F,word,3N,Filler,3
112,F82,zbunio,zbunio.wav,word,zhamio,zhamio.wav,F,nonword,1N,Filler,3
113,F83,lenio,lenio.wav,nonword,isprobao,isprobao.wav,F,word,2N,Filler,3
114,F84,kashtao,kashtao.wav,nonword,pamtio,pamtio.wav,F,word,3N,Filler,3
115,F85,murio,murio.wav,nonword,zezao,zezao.wav,F,word,1N,Filler,3
116,F86,preklozhio,preklozhio.wav,nonword,nitao,nitao.wav,F,nonword,2N,Filler,3
117,F87,hvalio,hvalio.wav,word,kliknuo,kliknuo.wav,F,word,3N,Filler,3
118,F88,tazhio,tazhio.wav,nonword,vrapao,vrapao.wav,F,nonword,1N,Filler,3
119,F89,rashovao,rashovao.wav,nonword,trejao,trejao.wav,F,nonword,2N,Filler,3
120,F90,drezhio,drezhio.wav,nonword,glasao,glasao.wav,F,word,3N,Filler,3
121,F91,kutovao,kutovao.wav,nonword,kruzhio,kruzhio.wav,F,word,1N,Filler,3
122,F92,gurao,gurao.wav,word,lafao,lafao.wav,F,nonword,2N,Filler,3
123,F93,blokirao,blokirao.wav,word,bavljao,bavljao.wav,F,nonword,3N,Filler,3
124,F94,prakao,prakao.wav,nonword,dapao,dapao.wav,F,nonword,1N,Filler,3
125,F95,vanio,vanio.wav,nonword,zapevao,zapevao.wav,F,word,2N,Filler,3
126,F96,purtao,purtao.wav,nonword,ispravio,ispravio.wav,F,word,3N,Filler,3
127,F97,kvario,kvario.wav,word,kreirao,kreirao.wav,F,word,1N,Filler,3
128,F98,isklivao,isklivao.wav,nonword,grushio,grushio.wav,F,nonword,2N,Filler,3
129,F99,ispelio,ispelio.wav,nonword,montirao,montirao.wav,F,word,3N,Filler,3
130,F100,ispunio,ispunio.wav,word,verogao,verogao.wav,F,nonword,1N,Filler,3
131,F101,zachudio,zachudio.wav,word,vredjao,vredjao.wav,F,word,2N,Filler,3
132,F102,brejao,brejao.wav,nonword,meshao,meshao.wav,F,word,3N,Filler,3
133,F103,dignuo,dignuo.wav,word,pitovao,pitovao.wav,F,nonword,1N,Filler,3
134,F104,bragio,bragio.wav,nonword,zachedio,zachedio.wav,F,nonword,2N,Filler,3
135,F105,dibao,dibao.wav,nonword,slavio,slavio.wav,F,word,3N,Filler,3
136,F106,pavio,pavio.wav,nonword,proshirio,proshirio.wav,F,word,1N,Filler,3
137,F107,kvanio,kvanio.wav,nonword,ucenio,ucenio.wav,F,word,2N,Filler,3
138,F108,gasio,gasio.wav,word,vidjao,vidjao.wav,F,word,3N,Filler,3
139,F109,tebao,tebao.wav,nonword,plakao,plakao.wav,F,word,1N,Filler,3
140,F110,vestao,vestao.wav,nonword,tukachio,tukachio.wav,F,nonword,2N,Filler,3
141,F111,gepao,gepao.wav,nonword,bazalio,bazalio.wav,F,nonword,3N,Filler,3
142,F112,nusio,nusio.wav,nonword,greshio,greshio.wav,F,word,1N,Filler,3
143,F113,shtedeo,shtedeo.wav,word,dizao,dizao.wav,F,word,2N,Filler,3
144,F114,duvao,duvao.wav,word,putovao,putovao.wav,F,word,3N,Filler,3
145,F115,pladio,pladio.wav,nonword,brisao,brisao.wav,F,word,1N,Filler,3
146,F116,kondzhao,kondzhao.wav,nonword,devio,devio.wav,F,nonword,2N,Filler,3
147,F117,tumachio,tumachio.wav,word,mashao,mashao.wav,F,nonword,3N,Filler,3
148,F118,ljutio,ljutio.wav,word,oboleo,oboleo.wav,F,word,1N,Filler,3
149,F119,ispanio,ispanio.wav,nonword,zapatio,zapatio.wav,F,word,2N,Filler,3
150,F120,guplovao,guplovao.wav,nonword,kopirao,kopirao.wav,F,word,3N,Filler,3
151,F121,rodio,rodio.wav,word,znabio,znabio.wav,F,nonword,1N,Filler,3
152,F122,zbulio,zbulio.wav,nonword,glumio,glumio.wav,F,word,2N,Filler,3
153,F123,bezhao,bezhao.wav,word,shapio,shapio.wav,F,nonword,3N,Filler,3
154,F124,istrafio,istrafio.wav,nonword,pushtao,pushtao.wav,F,word,1N,Filler,3
155,F125,zhileo,zhileo.wav,nonword,vorio,vorio.wav,F,nonword,2N,Filler,3
156,F126,mubio,mubio.wav,nonword,zvichao,zvichao.wav,F,nonword,3N,Filler,3
157,F127,katao,katao.wav,nonword,druzhio,druzhio.wav,F,word,1N,Filler,3
158,F128,pazario,pazario.wav,word,blutio,blutio.wav,F,nonword,2N,Filler,3
159,F129,zegnuo,zegnuo.wav,nonword,grejao,grejao.wav,F,word,3N,Filler,3
160,F130,daljao,daljao.wav,nonword,kapirao,kapirao.wav,F,word,1N,Filler,3
161,F131,dekavao,dekavao.wav,nonword,budio,budio.wav,F,word,2N,Filler,3
162,F132,hodao,hodao.wav,word,merio,merio.wav,F,word,3N,Filler,3
163,F133,iskruchio,iskruchio.wav,nonword,puzhao,puzhao.wav,F,nonword,1N,Filler,3
164,F134,formirao,formirao.wav,word,begezhio,begezhio.wav,F,nonword,2N,Filler,3
